Id,Probability
1,0.080806647
2,0.040718741
3,0.011968341
4,0.067639933
5,0.108263859
6,0.027519732
7,0.04729395
8,0.041027039
9,0.00422303
10,0.37712881
11,0.012478593
12,0.022617611
13,0.008333931
14,0.043935965
15,0.047308764
16,0.024631906
17,0.027441388
18,0.013997746
19,0.222881693
20,0.091325029
21,0.012180794
22,0.009499758
23,0.011288653
24,0.514438462
25,0.085839337
26,0.017220625
27,0.085247596
28,0.008568926
29,0.055082258
30,0.032466807
31,0.047326418
32,0.008162568
33,0.013434981
34,0.055487671
35,0.331720175
36,0.050096943
37,0.032459991
38,0.022031783
39,0.010961839
40,0.073821936
41,0.287884333
42,0.245160209
43,0.076593354
44,0.006129752
45,0.045576883
46,0.004909608
47,0.006235339
48,0.020647961
49,0.01742812
50,0.02667599
51,0.017151702
52,0.024239212
53,0.008482681
54,0.044724311
55,0.017280897
56,0.074366364
57,0.009776008
58,0.178212766
59,0.080175127
60,0.061570061
61,0.030859558
62,0.011230419
63,0.029222439
64,0.008157194
65,0.019058966
66,0.01452435
67,0.012277612
68,0.151081983
69,0.005728414
70,0.653720377
71,0.019032413
72,0.121704726
73,0.007328554
74,0.174704384
75,0.015734037
76,0.043413121
77,0.084293499
78,0.028663334
79,0.041008401
80,0.018661901
81,0.01602504
82,0.019722179
83,0.045850402
84,0.011839708
85,0.018839962
86,0.012724313
87,0.075973855
88,0.013782852
89,0.028947297
90,0.029213575
91,0.077168578
92,0.013152974
93,0.012285798
94,0.015793473
95,0.006885334
96,0.241597348
97,0.025462508
98,0.070294751
99,0.014292691
100,0.019090285
101,0.05616512
102,0.072471986
103,0.007191891
104,0.058808121
105,0.086554757
106,0.022156116
107,0.335596417
108,0.017955356
109,0.00656427
110,0.020557379
111,0.037893824
112,0.025000037
113,0.023940023
114,0.44122483
115,0.096671598
116,0.011400188
117,0.004915471
118,0.081307156
119,0.013133488
120,0.00729177
121,0.007030134
122,0.050312876
123,0.012895201
124,0.545554466
125,0.012196881
126,0.031859291
127,0.010082404
128,0.015968269
129,0.010547365
130,0.042098549
